"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000277957.1|SENP3-EIF4A1",70.7497240662074,-8.00934673009111,1.80050876186684,-4.44837975783395,8.6520461233565e-06,0.540458713141587
"ENSG00000290825.1|DDX11L2",25.1872240662074,-0.969026666556725,1.78027616229992,-0.544312555027896,0.586226408739758,0.987441063804008
"ENSG00000223972.6|DDX11L1",1.06222406620736,0.0314935980508493,1.09585152965978,0.0287389278551509,0.977072809240843,0.987441063804008
"ENSG00000227232.5|WASH7P",66.6872240662074,-1.26254397783479,2.06745009653716,-0.610676881608635,0.541413513905282,0.987441063804008
"ENSG00000278267.1|MIR6859-1",2.81222406620736,-0.963530191399702,1.00303201315826,-0.960617586238171,0.336744482912415,0.987441063804008
"ENSG00000243485.5|MIR1302-2HG",1.24972406620736,0.609695033676384,1.03043370166316,0.591687784175066,0.554059678177211,0.987441063804008
"ENSG00000284332.1|MIR1302-2",1.18722406620736,0.0303093221638266,1.00714532344505,0.0300942887369525,0.97599185559734,0.987441063804008
"ENSG00000237613.2|FAM138A",1.12472406620736,0.350252157027892,1.05248832018763,0.332784839802736,0.739296702707603,0.987441063804008
"ENSG00000268020.3|OR4G4P",1.12472406620736,-0.288395275578557,1.05239483852672,-0.274037143684865,0.784056077298875,0.987441063804008
"ENSG00000290826.1|ENSG00000290826",1.06222406620736,0.0314935980508493,1.09585152965978,0.0287389278551509,0.977072809240843,0.987441063804008
